model_name,workload,config,n_groups,n_observations,duration_f,duration_p,duration_eta,throughput_f,throughput_p,throughput_eta,mj_per_token_f,mj_per_token_p,mj_per_token_eta,gpu_avg_power_f,gpu_avg_power_p,gpu_avg_power_eta
Qwen3.5-27B,bs128_out500,,10,100,42048.13,5.258231839550258e-159,1.00,12151.11,9.320300766623399e-135,1.00,21850.56,3.2285293251181306e-146,1.00,48195.46,1.1344980857904066e-161,1.00
Qwen3.5-27B,bs256_out2000,,10,100,24944.83,8.353965191436124e-149,1.00,6773.62,2.379484732851508e-123,1.00,26624.21,4.4575363876547743e-150,1.00,20465.00,6.146687634762859e-145,1.00
Qwen3.5-27B,bs256_out500,,10,100,88629.45,1.4159840261973845e-173,1.00,45839.18,1.0819226530559419e-160,1.00,27203.33,1.6932542014068052e-150,1.00,24078.01,4.099990515473849e-148,1.00
Qwen3.5-27B,,DP2,3,30,914238.38,6.097007535953549e-66,1.00,8193.13,2.619891586964271e-38,1.00,17006.69,1.385122163786741e-42,1.00,109.20,1.1481275781323978e-13,0.89
Qwen3.5-27B,,DP4,3,30,243251.20,3.527264585704113e-58,1.00,1515.91,1.8553589151853877e-28,0.99,6576.53,5.064416976513543e-37,1.00,11.12,0.00029980949873623954,0.45
Qwen3.5-27B,,PP2,3,30,66898.01,1.303901113450564e-50,1.00,11828.11,1.85550301139474e-40,1.00,2629.39,1.151979688319247e-31,0.99,282.62,7.848232142068922e-19,0.95
Qwen3.5-27B,,PP2 × DP2,3,30,45959.60,2.0687348899777932e-48,1.00,7520.66,8.308685820456655e-38,1.00,2217.41,1.1350092147793321e-30,0.99,530.11,2.153442874677453e-22,0.98
Qwen3.5-27B,,PP4,3,30,56052.54,1.4192446181188071e-49,1.00,13563.38,2.928910959763561e-41,1.00,2723.40,7.186528395624244e-32,1.00,90.03,1.1381472245953604e-12,0.87
Qwen3.5-27B,,Single GPU,3,30,14251.55,1.502510711005255e-41,1.00,4446.43,9.853187893312338e-35,1.00,3721.00,1.0823685148522653e-33,1.00,202.36,5.598306717875748e-17,0.94
Qwen3.5-27B,,TP2,3,30,17766.64,7.680345538001359e-43,1.00,3580.23,1.818232529549366e-33,1.00,2664.42,9.643812272640601e-32,0.99,1893.84,9.413248029944604e-30,0.99
Qwen3.5-27B,,TP2 × DP2,3,30,10779.40,6.4884672627258925e-40,1.00,4480.29,8.896801553479287e-35,1.00,1857.97,1.2162765270230646e-29,0.99,3460.75,2.8700526646558633e-33,1.00
Qwen3.5-27B,,TP2 × PP2,3,30,90790.87,2.113803843633315e-52,1.00,14696.85,9.921901649211954e-42,1.00,4606.02,6.129904646473353e-35,1.00,1081.86,1.6806607794502408e-26,0.99
Qwen3.5-27B,,TP4,3,30,10148.76,1.4626450354079717e-39,1.00,3903.76,5.678598595213441e-34,1.00,3674.82,1.2803379857538188e-33,1.00,1692.21,4.253749241649957e-29,0.99
Qwen3-14B,bs128_out500,,4,40,100600.05,1.165501719554679e-70,1.00,139163.87,3.3889771156750216e-73,1.00,16892.15,1.0237940016652914e-56,1.00,122706.31,3.26474233118399e-72,1.00
Qwen3-14B,bs256_out2000,,4,40,1672.01,1.0928103191193994e-38,0.99,10540.98,4.934556476558447e-53,1.00,426.51,3.571469611664539e-28,0.97,67479.08,1.5408708732235102e-67,1.00
Qwen3-14B,bs256_out500,,4,40,168672.48,1.0638261781795519e-74,1.00,123696.78,2.8249313104528317e-72,1.00,2147.84,1.2402825150869018e-40,0.99,23149.96,3.533255707255959e-59,1.00
Qwen3-14B,,DP2,3,30,7339080.94,3.7439707236104646e-78,1.00,2153826.44,5.769320097532857e-71,1.00,104970.50,2.980876470208823e-53,1.00,24858.10,8.270012586000173e-45,1.00
Qwen3-14B,,PP2,3,30,50514.57,5.7784927348477875e-49,1.00,38669.68,2.127925215143246e-47,1.00,12038.33,1.4631517799815139e-40,1.00,1535.91,1.5569029121330805e-28,0.99
Qwen3-14B,,Single GPU,3,30,4412.85,1.0911472111063978e-34,1.00,12338.75,1.04938761237119e-40,1.00,2336.06,5.638796316396302e-31,0.99,7796.61,5.112507344245374e-38,1.00
Qwen3-14B,,TP2,3,30,75336.99,2.6232766731697884e-51,1.00,44739.62,2.9743451481821605e-48,1.00,21175.15,7.196357284884509e-44,1.00,8265.23,2.3280611987360337e-38,1.00
