model_key,metric,metric_label,factor_a,factor_b,f_a,p_a,f_b,p_b,f_interaction,p_interaction,eta_squared_a,eta_squared_b,eta_squared_interaction,n,test,config,workload,f_statistic,p_value,eta_squared
qwen3.5_27b,duration_s,Duration (s),config,workload,67789.60007273285,0.0,124141.54215850354,0.0,8838.328955417164,0.0,0.5994662310352838,0.24395306232755662,0.15631541539909696,300.0,,,,,,
qwen3.5_27b,throughput_tok_s,Throughput (tok/s),config,workload,44494.481767228724,0.0,26479.788420738816,1.597538431114e-310,2242.602300488175,3.610185982474964e-282,0.8105514964665894,0.10719547572379694,0.08170652082878825,300.0,,,,,,
qwen3.5_27b,mj_per_token,Energy per token (mJ),config,workload,74445.43030455103,0.0,24628.065535006954,2.700621996122259e-306,958.0004564853261,7.48315794125348e-233,0.9093756225452325,0.06685333087115877,0.023404586633484818,300.0,,,,,,
qwen3.5_27b,gpu_avg_power_w,Avg GPU power (W),config,workload,76701.62588445318,0.0,7642.295230984644,2.1537719845203238e-238,928.7125491123679,4.6164294161471425e-231,0.9553389988957253,0.021152623243484586,0.023134719941073432,300.0,,,,,,
qwen3_14b,duration_s,Duration (s),config,workload,3516.6471701417254,1.6982475409621315e-107,31782.765105145547,2.4609378107969394e-150,1044.884405970371,3.368422530222291e-93,0.13106693236389674,0.7897047619187886,0.07788657044026956,120.0,,,,,,
qwen3_14b,throughput_tok_s,Throughput (tok/s),config,workload,123680.2198318131,9.351552847225398e-191,189507.91982395892,3.5538878136392195e-192,8440.291972133466,7.891416337255275e-142,0.46333387013794186,0.4732928085737459,0.06323845720618448,120.0,,,,,,
qwen3_14b,mj_per_token,Energy per token (mJ),config,workload,3862.091828537912,1.1323871703016521e-109,24775.009600559355,1.66515867439292e-144,253.69231739040836,2.9760420257636246e-61,0.18459345312172487,0.7894348065467018,0.02425107582968927,120.0,,,,,,
qwen3_14b,gpu_avg_power_w,Avg GPU power (W),config,workload,115395.9324973443,3.947441817662997e-189,25134.178663442868,7.667216242287356e-145,1399.4570994497474,6.022857473918924e-100,0.8548672222462393,0.12413138564164779,0.020734699696402507,120.0,,,,,,
,duration_s,Duration (s),,,,,,,,,,,,,one_way_model,DP2,bs128_out500,425584.67061585886,8.029652376446389e-41,0.9999577070323032
,throughput_tok_s,Throughput (tok/s),,,,,,,,,,,,,one_way_model,DP2,bs128_out500,6254102.485209724,2.5132283392319148e-51,0.9999971218974688
