model_name,workload,config,duration_mean,duration_min,duration_max,duration_spread_abs,duration_spread_pct,duration_min_run_id,duration_max_run_id,throughput_mean,throughput_min,throughput_max,throughput_spread_abs,throughput_spread_pct,throughput_min_run_id,throughput_max_run_id,mj_per_token_mean,mj_per_token_min,mj_per_token_max,mj_per_token_spread_abs,mj_per_token_spread_pct,mj_per_token_min_run_id,mj_per_token_max_run_id,gpu_avg_power_mean,gpu_avg_power_min,gpu_avg_power_max,gpu_avg_power_spread_abs,gpu_avg_power_spread_pct,gpu_avg_power_min_run_id,gpu_avg_power_max_run_id
Qwen3-14B,bs128_out500,DP2,55.8,55.71,55.88,0.17,0.3,5,4,8407.43,8396.12,8421.43,25.32,0.3,4,5,103.52,103.06,104.0,0.94,0.91,1,4,870.33,866.73,873.19,6.46,0.74,1,4
Qwen3-14B,bs128_out500,PP2,112.7,112.42,114.05,1.63,1.45,7,4,4192.22,4138.72,4224.19,85.47,2.04,4,2,136.92,136.38,137.73,1.35,0.99,2,4,573.98,570.02,577.48,7.46,1.3,4,1
Qwen3-14B,bs128_out500,Single GPU,111.74,111.45,111.94,0.49,0.44,8,2,4236.45,4218.26,4255.96,37.7,0.89,8,3,102.58,101.87,103.09,1.22,1.19,4,2,434.58,433.04,436.75,3.71,0.85,4,2
Qwen3-14B,bs128_out500,TP2,71.79,71.28,72.07,0.79,1.1,7,5,6558.18,6516.04,6591.79,75.75,1.15,1,4,119.12,118.39,119.81,1.42,1.19,4,1,781.2,778.38,784.09,5.71,0.73,5,10
Qwen3-14B,bs256_out2000,DP2,192.9,192.65,193.05,0.4,0.21,10,9,6664.1,6658.73,6672.68,13.95,0.21,9,10,130.98,130.84,131.29,0.45,0.34,6,1,872.85,871.53,875.83,4.29,0.49,6,1
Qwen3-14B,bs256_out2000,PP2,325.99,319.32,329.8,10.48,3.21,4,3,3972.76,3934.18,4001.75,67.57,1.7,7,6,153.07,152.44,154.0,1.56,1.02,1,7,608.09,603.99,610.83,6.84,1.12,4,9
Qwen3-14B,bs256_out2000,Single GPU,386.47,368.46,407.7,39.25,10.16,2,4,3376.16,3250.44,3531.64,281.2,8.33,4,7,133.35,128.83,138.33,9.5,7.12,7,4,449.95,445.73,454.98,9.26,2.06,9,7
Qwen3-14B,bs256_out2000,TP2,200.13,196.61,202.38,5.77,2.88,8,1,6513.4,6464.97,6581.15,116.18,1.78,3,6,131.75,130.45,132.41,1.97,1.49,6,4,858.12,852.77,863.37,10.6,1.24,3,1
Qwen3-14B,bs256_out500,DP2,32.98,32.92,33.0,0.08,0.25,2,4,14336.67,14327.87,14363.99,36.12,0.25,4,2,77.98,77.39,78.43,1.04,1.33,8,9,1117.98,1109.31,1124.59,15.28,1.37,8,9
Qwen3-14B,bs256_out500,PP2,66.28,66.04,66.48,0.44,0.67,8,3,7131.42,7088.86,7200.74,111.88,1.57,8,3,97.78,95.39,100.04,4.65,4.76,1,5,697.3,681.89,712.59,30.7,4.4,1,5
Qwen3-14B,bs256_out500,Single GPU,65.77,65.55,65.93,0.38,0.57,6,7,7203.9,7169.67,7234.47,64.8,0.9,1,10,77.49,77.23,77.76,0.53,0.68,6,8,558.27,554.67,562.03,7.37,1.32,6,8
Qwen3-14B,bs256_out500,TP2,45.06,44.71,45.25,0.53,1.19,5,2,10486.53,10433.64,10586.47,152.83,1.46,9,6,90.2,89.51,90.87,1.37,1.51,4,9,945.87,937.4,949.59,12.19,1.29,4,6
Qwen3.5-27B,bs128_out500,DP2,391.74,389.26,395.52,6.26,1.6,2,1,802.89,795.2,808.0,12.8,1.59,1,2,799.75,797.25,804.21,6.95,0.87,2,1,642.1,639.5,644.18,4.67,0.73,1,2
Qwen3.5-27B,bs128_out500,DP4,200.39,198.78,203.25,4.46,2.23,4,1,1559.96,1538.0,1572.51,34.52,2.21,1,4,819.39,815.11,826.2,11.09,1.35,4,1,1278.19,1270.69,1283.3,12.61,0.99,1,3
Qwen3.5-27B,bs128_out500,PP2,268.42,266.39,271.31,4.92,1.83,7,2,1180.13,1169.72,1193.72,23.99,2.03,2,10,449.42,445.45,452.3,6.85,1.52,10,9,530.36,528.18,531.74,3.56,0.67,2,10
Qwen3.5-27B,bs128_out500,PP2 × DP2,135.28,134.46,136.28,1.82,1.35,2,1,2358.33,2321.47,2376.96,55.5,2.35,1,7,449.87,446.4,456.66,10.26,2.28,7,1,1060.89,1058.52,1063.48,4.96,0.47,6,2
Qwen3.5-27B,bs128_out500,PP4,270.02,269.24,271.14,1.89,0.7,2,5,1170.54,1162.64,1181.88,19.24,1.64,3,5,701.27,695.15,705.41,10.27,1.46,5,3,820.85,818.5,823.06,4.57,0.56,4,6
Qwen3.5-27B,bs128_out500,TP2,196.08,187.22,202.7,15.48,7.89,2,8,1621.81,1573.27,1692.11,118.84,7.33,8,2,398.13,388.59,403.44,14.84,3.73,2,8,645.55,634.71,657.54,22.83,3.54,8,2
Qwen3.5-27B,bs128_out500,TP2 × DP2,101.46,98.85,103.67,4.82,4.75,5,7,3129.52,3067.2,3213.06,145.86,4.66,3,5,407.41,400.84,418.07,17.23,4.23,5,3,1274.81,1264.44,1287.93,23.5,1.84,7,5
Qwen3.5-27B,bs128_out500,TP2 × PP2,157.36,156.51,159.32,2.81,1.79,3,1,2017.35,2002.69,2039.65,36.96,1.83,5,7,518.64,513.65,521.92,8.27,1.6,7,5,1046.25,1043.33,1048.55,5.22,0.5,6,2
Qwen3.5-27B,bs128_out500,TP4,197.5,192.12,204.21,12.09,6.12,7,8,1600.93,1562.11,1645.52,83.42,5.21,8,3,640.51,630.21,648.75,18.54,2.89,3,8,1025.23,1013.41,1037.03,23.61,2.3,8,3
Qwen3.5-27B,bs256_out2000,DP2,1060.45,1057.95,1062.62,4.67,0.44,7,2,712.84,711.38,714.53,3.14,0.44,2,7,899.07,897.57,901.14,3.58,0.4,6,3,640.89,639.89,642.31,2.42,0.38,2,10
Qwen3.5-27B,bs256_out2000,DP4,562.49,560.83,564.33,3.5,0.62,5,2,1381.32,1376.8,1385.39,8.59,0.62,2,5,924.38,922.77,927.4,4.64,0.5,6,2,1276.86,1274.51,1278.53,4.03,0.32,9,5
Qwen3.5-27B,bs256_out2000,PP2,584.51,577.28,590.49,13.21,2.26,6,7,1249.79,1235.5,1268.29,32.79,2.62,6,3,437.56,434.27,442.3,8.03,1.84,3,5,546.84,540.85,552.15,11.29,2.07,10,7
Qwen3.5-27B,bs256_out2000,PP2 × DP2,296.44,292.47,299.96,7.49,2.53,7,5,2494.26,2449.7,2546.98,97.29,3.9,3,8,438.9,430.46,445.03,14.57,3.32,8,3,1094.65,1085.87,1100.87,14.99,1.37,5,2
Qwen3.5-27B,bs256_out2000,PP4,589.0,579.08,595.65,16.57,2.81,10,5,1246.16,1230.22,1260.86,30.65,2.46,3,4,669.84,662.72,681.23,18.51,2.76,5,10,834.68,829.36,838.38,9.02,1.08,7,10
Qwen3.5-27B,bs256_out2000,TP2,403.84,397.87,410.11,12.25,3.03,8,7,1806.79,1740.43,1870.54,130.11,7.2,7,8,383.25,378.34,388.99,10.65,2.78,8,7,692.32,677.01,707.69,30.69,4.43,7,8
Qwen3.5-27B,bs256_out2000,TP2 × DP2,204.5,197.94,210.2,12.27,6.0,6,1,3699.42,3527.06,3838.93,311.86,8.43,2,6,379.77,372.89,389.39,16.5,4.35,6,2,1404.53,1373.39,1431.48,58.09,4.14,2,6
Qwen3.5-27B,bs256_out2000,TP2 × PP2,345.29,342.68,349.17,6.48,1.88,3,4,2153.12,2134.35,2175.55,41.2,1.91,3,7,500.28,494.28,505.69,11.41,2.28,7,9,1077.14,1073.8,1080.84,7.04,0.65,10,9
Qwen3.5-27B,bs256_out2000,TP4,397.0,384.69,404.77,20.08,5.06,9,5,1869.3,1804.65,1933.66,129.01,6.9,10,6,582.66,572.26,594.3,22.04,3.78,6,10,1088.85,1072.5,1106.56,34.06,3.13,10,6
Qwen3.5-27B,bs256_out500,DP2,379.62,378.48,380.55,2.07,0.55,3,2,831.43,829.39,833.93,4.54,0.55,2,3,778.54,776.49,780.79,4.3,0.55,3,1,647.3,646.06,648.4,2.34,0.36,7,1
Qwen3.5-27B,bs256_out500,DP4,198.88,197.15,201.53,4.38,2.2,9,2,1594.94,1573.91,1608.91,35.0,2.19,2,9,805.64,801.79,810.78,9.0,1.12,1,2,1284.92,1276.1,1294.06,17.95,1.4,2,9
Qwen3.5-27B,bs256_out500,PP2,184.32,182.75,185.44,2.69,1.46,1,2,1713.24,1701.01,1722.36,21.35,1.25,1,2,340.26,327.56,346.76,19.21,5.64,10,1,582.92,564.01,589.85,25.84,4.43,10,1
Qwen3.5-27B,bs256_out500,PP2 × DP2,93.38,92.85,94.17,1.33,1.42,5,10,3395.65,3379.85,3428.41,48.56,1.43,7,1,347.26,341.66,355.9,14.23,4.1,4,2,1179.15,1156.95,1204.38,47.42,4.02,4,2
Qwen3.5-27B,bs256_out500,PP4,185.21,184.64,185.79,1.15,0.62,9,5,1698.61,1689.91,1702.4,12.49,0.74,2,9,512.41,495.56,520.91,25.35,4.95,10,4,870.39,841.3,886.54,45.24,5.2,10,4
Qwen3.5-27B,bs256_out500,TP2,109.15,108.21,110.56,2.35,2.16,10,2,2878.82,2839.05,2915.24,76.18,2.65,1,6,292.1,288.98,294.69,5.71,1.96,6,1,840.84,836.64,844.16,7.52,0.89,1,7
Qwen3.5-27B,bs256_out500,TP2 × DP2,55.6,55.17,56.08,0.92,1.65,3,4,5688.84,5596.24,5727.13,130.9,2.3,4,6,295.67,294.13,299.81,5.68,1.92,3,4,1681.94,1675.66,1688.08,12.42,0.74,7,1
Qwen3.5-27B,bs256_out500,TP2 × PP2,110.25,109.69,110.82,1.13,1.02,9,2,2877.53,2864.04,2895.95,31.91,1.11,10,3,396.92,392.22,404.04,11.82,2.98,2,4,1142.11,1129.6,1158.87,29.28,2.56,2,4
Qwen3.5-27B,bs256_out500,TP4,101.1,98.8,102.96,4.16,4.11,4,1,3131.9,3061.44,3187.01,125.57,4.01,8,6,409.38,404.96,414.31,9.35,2.28,7,8,1282.02,1268.39,1298.77,30.38,2.37,8,6
