config,workload,duration_f,duration_p,duration_eta,throughput_f,throughput_p,throughput_eta,mj_per_token_f,mj_per_token_p,mj_per_token_eta,gpu_avg_power_f,gpu_avg_power_p,gpu_avg_power_eta
DP2,bs128_out500,425584.67,8.029652376446389e-41,1.00,6254102.49,2.5132283392319148e-51,1.00,1370304.87,2.159354742421026e-45,1.00,78694.25,3.1724253060280712e-34,1.00
DP2,bs256_out2000,3931118.19,1.6408378318936238e-49,1.00,10934408.68,1.646507631899153e-53,1.00,3880468.94,1.843964057702926e-49,1.00,201677.81,6.659983326727923e-38,1.00
DP2,bs256_out500,2695244.19,4.9013951130607056e-48,1.00,15929393.21,5.570963177937344e-55,1.00,2006057.12,6.992051306921382e-47,1.00,120902.35,6.656748060136052e-36,1.00
PP2,bs128_out500,115111.40,1.0353377638503247e-35,1.00,164219.01,4.231650723084317e-37,1.00,211086.60,4.4183993362370877e-38,1.00,3394.72,5.872977642065817e-22,0.99
PP2,bs256_out2000,23462.89,1.69607944622183e-29,1.00,96495.31,5.063829969468384e-35,1.00,116696.53,9.154471388837236e-36,1.00,2429.99,1.1691921131994993e-20,0.99
PP2,bs256_out500,181252.79,1.7409910311321076e-37,1.00,224884.87,2.499126729405093e-38,1.00,18734.88,1.2832296204750794e-28,1.00,969.94,4.1376032374894493e-17,0.98
Single GPU,bs128_out500,96893.37,4.879679838191339e-35,1.00,915209.50,8.165257349653977e-44,1.00,1094228.79,1.635660902138061e-44,1.00,72945.16,6.278312457224636e-34,1.00
Single GPU,bs256_out2000,21896.17,3.157644124583138e-29,1.00,9921.29,3.889398727330534e-26,1.00,256354.45,7.689517110252898e-39,1.00,18081.91,1.765368404511395e-28,1.00
Single GPU,bs256_out500,109259.12,1.6557564316032791e-35,1.00,932998.14,6.866397408930964e-44,1.00,776583.15,3.580550825657904e-43,1.00,73774.72,5.670920603017751e-34,1.00
TP2,bs128_out500,8594.43,1.4125467182791688e-25,1.00,141796.17,1.5859001878832453e-36,1.00,39068.52,1.7281230084868006e-31,1.00,3291.29,7.747877833017384e-22,0.99
TP2,bs256_out2000,18070.93,1.7750336035929005e-28,1.00,73403.80,5.934038815447293e-34,1.00,47034.95,3.254773901018147e-32,1.00,2429.25,1.172348968819299e-20,0.99
TP2,bs256_out500,79759.08,2.8110497450244674e-34,1.00,221567.68,2.8567241683369305e-38,1.00,93108.35,6.984125170308434e-35,1.00,5439.88,8.573551974571861e-24,1.00
