run_id,model_name,config,workload,duration,throughput,mj_per_token,gpu_avg_power,source_file
1,Qwen3-14B,DP2,bs128_out500,55.79,8410.14,103.06,866.73,qwen3_14b_dp2_bs128_out500_20260630_115222.json
2,Qwen3-14B,DP2,bs128_out500,55.8,8407.27,103.65,871.43,qwen3_14b_dp2_bs128_out500_20260630_162721.json
3,Qwen3-14B,DP2,bs128_out500,55.85,8400.79,103.68,870.97,qwen3_14b_dp2_bs128_out500_20260630_210203.json
4,Qwen3-14B,DP2,bs128_out500,55.88,8396.12,104.0,873.19,qwen3_14b_dp2_bs128_out500_20260701_013644.json
5,Qwen3-14B,DP2,bs128_out500,55.71,8421.43,103.45,871.18,qwen3_14b_dp2_bs128_out500_20260701_061134.json
6,Qwen3-14B,DP2,bs128_out500,55.72,8420.63,103.15,868.58,qwen3_14b_dp2_bs128_out500_20260701_104452.json
7,Qwen3-14B,DP2,bs128_out500,55.86,8399.55,103.55,869.78,qwen3_14b_dp2_bs128_out500_20260701_151959.json
8,Qwen3-14B,DP2,bs128_out500,55.81,8406.73,103.2,867.54,qwen3_14b_dp2_bs128_out500_20260701_195503.json
9,Qwen3-14B,DP2,bs128_out500,55.86,8398.23,103.81,871.86,qwen3_14b_dp2_bs128_out500_20260702_003116.json
10,Qwen3-14B,DP2,bs128_out500,55.76,8413.4,103.65,872.07,qwen3_14b_dp2_bs128_out500_20260702_050619.json
1,Qwen3-14B,PP2,bs128_out500,112.62,4204.55,137.35,577.48,qwen3_14b_pp2_bs128_out500_20260630_120121.json
2,Qwen3-14B,PP2,bs128_out500,112.7,4224.19,136.38,576.08,qwen3_14b_pp2_bs128_out500_20260630_163608.json
3,Qwen3-14B,PP2,bs128_out500,112.71,4199.8,136.81,574.56,qwen3_14b_pp2_bs128_out500_20260630_211049.json
4,Qwen3-14B,PP2,bs128_out500,114.05,4138.72,137.73,570.02,qwen3_14b_pp2_bs128_out500_20260701_014533.json
5,Qwen3-14B,PP2,bs128_out500,112.43,4191.95,136.68,572.96,qwen3_14b_pp2_bs128_out500_20260701_062020.json
6,Qwen3-14B,PP2,bs128_out500,112.53,4207.17,136.4,573.87,qwen3_14b_pp2_bs128_out500_20260701_105338.json
7,Qwen3-14B,PP2,bs128_out500,112.42,4183.04,136.91,572.72,qwen3_14b_pp2_bs128_out500_20260701_152844.json
8,Qwen3-14B,PP2,bs128_out500,112.63,4199.69,137.21,576.25,qwen3_14b_pp2_bs128_out500_20260701_200350.json
9,Qwen3-14B,PP2,bs128_out500,112.42,4183.75,136.9,572.76,qwen3_14b_pp2_bs128_out500_20260702_004007.json
10,Qwen3-14B,PP2,bs128_out500,112.51,4189.38,136.8,573.11,qwen3_14b_pp2_bs128_out500_20260702_051504.json
1,Qwen3-14B,Single GPU,bs128_out500,111.52,4219.29,103.03,434.73,qwen3_14b_single_bs128_out500_20260630_121233.json
2,Qwen3-14B,Single GPU,bs128_out500,111.94,4236.44,103.09,436.75,qwen3_14b_single_bs128_out500_20260630_164712.json
3,Qwen3-14B,Single GPU,bs128_out500,111.77,4255.96,102.25,435.16,qwen3_14b_single_bs128_out500_20260630_212203.json
4,Qwen3-14B,Single GPU,bs128_out500,111.76,4250.76,101.87,433.04,qwen3_14b_single_bs128_out500_20260701_015632.json
5,Qwen3-14B,Single GPU,bs128_out500,111.81,4245.1,102.61,435.6,qwen3_14b_single_bs128_out500_20260701_063127.json
6,Qwen3-14B,Single GPU,bs128_out500,111.67,4235.47,102.54,434.29,qwen3_14b_single_bs128_out500_20260701_110449.json
7,Qwen3-14B,Single GPU,bs128_out500,111.91,4238.76,102.25,433.41,qwen3_14b_single_bs128_out500_20260701_153952.json
8,Qwen3-14B,Single GPU,bs128_out500,111.45,4218.26,102.72,433.32,qwen3_14b_single_bs128_out500_20260701_201457.json
9,Qwen3-14B,Single GPU,bs128_out500,111.75,4239.45,102.5,434.54,qwen3_14b_single_bs128_out500_20260702_005120.json
10,Qwen3-14B,Single GPU,bs128_out500,111.85,4224.98,102.96,435.0,qwen3_14b_single_bs128_out500_20260702_052612.json
1,Qwen3-14B,TP2,bs128_out500,71.9,6516.04,119.81,780.7,qwen3_14b_tp2_bs128_out500_20260630_122409.json
2,Qwen3-14B,TP2,bs128_out500,72.05,6553.2,119.07,780.29,qwen3_14b_tp2_bs128_out500_20260630_165842.json
3,Qwen3-14B,TP2,bs128_out500,71.96,6556.53,119.17,781.31,qwen3_14b_tp2_bs128_out500_20260630_213400.json
4,Qwen3-14B,TP2,bs128_out500,71.67,6591.79,118.39,780.4,qwen3_14b_tp2_bs128_out500_20260701_020841.json
5,Qwen3-14B,TP2,bs128_out500,72.07,6557.96,118.69,778.38,qwen3_14b_tp2_bs128_out500_20260701_064308.json
6,Qwen3-14B,TP2,bs128_out500,71.59,6559.91,119.05,780.94,qwen3_14b_tp2_bs128_out500_20260701_111647.json
7,Qwen3-14B,TP2,bs128_out500,71.28,6585.09,118.74,781.91,qwen3_14b_tp2_bs128_out500_20260701_155120.json
