model_name,workload,config,duration,throughput,mj_per_token,gpu_avg_power
Qwen3-14B,bs128_out500,DP2,55.80,8407.43,103.52,870.33
Qwen3-14B,bs128_out500,PP2,112.70,4192.22,136.92,573.98
Qwen3-14B,bs128_out500,Single GPU,111.74,4236.45,102.58,434.58
Qwen3-14B,bs128_out500,TP2,71.79,6558.18,119.12,781.19
Qwen3-14B,bs256_out2000,DP2,192.90,6664.10,130.98,872.84
Qwen3-14B,bs256_out2000,PP2,325.99,3972.76,153.07,608.09
Qwen3-14B,bs256_out2000,Single GPU,386.47,3376.16,133.35,449.95
Qwen3-14B,bs256_out2000,TP2,200.13,6513.40,131.75,858.12
Qwen3-14B,bs256_out500,DP2,32.98,14336.67,77.98,1117.98
Qwen3-14B,bs256_out500,PP2,66.28,7131.42,97.78,697.30
Qwen3-14B,bs256_out500,Single GPU,65.77,7203.90,77.49,558.26
Qwen3-14B,bs256_out500,TP2,45.06,10486.53,90.20,945.87
Qwen3.5-27B,bs128_out500,DP2,391.74,802.89,799.75,642.10
Qwen3.5-27B,bs128_out500,DP4,200.39,1559.96,819.39,1278.19
Qwen3.5-27B,bs128_out500,PP2,268.42,1180.13,449.42,530.36
Qwen3.5-27B,bs128_out500,PP2 × DP2,135.28,2358.33,449.87,1060.89
Qwen3.5-27B,bs128_out500,PP4,270.02,1170.53,701.27,820.85
Qwen3.5-27B,bs128_out500,Single GPU,788.98,398.79,806.57,321.65
Qwen3.5-27B,bs128_out500,TP2,196.08,1621.81,398.13,645.55
Qwen3.5-27B,bs128_out500,TP2 × DP2,101.46,3129.52,407.41,1274.81
Qwen3.5-27B,bs128_out500,TP2 × PP2,157.36,2017.35,518.63,1046.25
Qwen3.5-27B,bs128_out500,TP4,197.50,1600.93,640.51,1025.23
Qwen3.5-27B,bs256_out2000,DP2,1060.45,712.84,899.07,640.89
Qwen3.5-27B,bs256_out2000,DP4,562.49,1381.32,924.38,1276.86
Qwen3.5-27B,bs256_out2000,PP2,584.51,1249.79,437.56,546.84
Qwen3.5-27B,bs256_out2000,PP2 × DP2,296.44,2494.26,438.90,1094.65
Qwen3.5-27B,bs256_out2000,PP4,589.00,1246.16,669.85,834.68
Qwen3.5-27B,bs256_out2000,Single GPU,2052.99,362.17,880.16,318.76
Qwen3.5-27B,bs256_out2000,TP2,403.84,1806.79,383.25,692.32
Qwen3.5-27B,bs256_out2000,TP2 × DP2,204.50,3699.42,379.78,1404.54
Qwen3.5-27B,bs256_out2000,TP2 × PP2,345.29,2153.12,500.29,1077.13
Qwen3.5-27B,bs256_out2000,TP4,397.00,1869.30,582.66,1088.85
Qwen3.5-27B,bs256_out500,DP2,379.62,831.43,778.54,647.30
Qwen3.5-27B,bs256_out500,DP4,198.89,1594.94,805.63,1284.92
Qwen3.5-27B,bs256_out500,PP2,184.32,1713.24,340.26,582.92
Qwen3.5-27B,bs256_out500,PP2 × DP2,93.38,3395.65,347.26,1179.15
Qwen3.5-27B,bs256_out500,PP4,185.21,1698.62,512.41,870.39
Qwen3.5-27B,bs256_out500,Single GPU,752.43,417.24,777.58,324.43
Qwen3.5-27B,bs256_out500,TP2,109.14,2878.82,292.09,840.84
Qwen3.5-27B,bs256_out500,TP2 × DP2,55.60,5688.84,295.67,1681.94
Qwen3.5-27B,bs256_out500,TP2 × PP2,110.25,2877.53,396.92,1142.11
Qwen3.5-27B,bs256_out500,TP4,101.09,3131.90,409.38,1282.02
