model_name,workload,config,duration,throughput,mj_per_token,gpu_avg_power
Qwen3-14B,bs128_out500,DP2,55.81,8407.09,103.52,870.43
Qwen3-14B,bs128_out500,PP2,112.57,4194.92,136.88,574.04
Qwen3-14B,bs128_out500,Single GPU,111.75,4236.28,102.61,434.51
Qwen3-14B,bs128_out500,TP2,71.82,6559.24,119.12,781.19
Qwen3-14B,bs256_out2000,DP2,192.91,6663.7,130.96,872.64
Qwen3-14B,bs256_out2000,PP2,326.35,3973.96,153.03,608.27
Qwen3-14B,bs256_out2000,Single GPU,386.06,3372.44,133.3,449.85
Qwen3-14B,bs256_out2000,TP2,200.29,6510.98,131.83,858.14
Qwen3-14B,bs256_out500,DP2,32.99,14334.36,78.0,1118.24
Qwen3-14B,bs256_out500,PP2,66.29,7128.08,97.8,697.31
Qwen3-14B,bs256_out500,Single GPU,65.77,7204.36,77.49,558.24
Qwen3-14B,bs256_out500,TP2,45.08,10480.65,90.2,946.46
Qwen3.5-27B,bs128_out500,DP2,391.58,803.21,799.5,642.17
Qwen3.5-27B,bs128_out500,DP4,200.24,1561.13,819.08,1278.49
Qwen3.5-27B,bs128_out500,PP2,268.31,1179.73,449.55,530.46
Qwen3.5-27B,bs128_out500,PP2 × DP2,135.26,2360.61,449.45,1060.86
Qwen3.5-27B,bs128_out500,PP4,269.98,1170.1,701.52,820.86
Qwen3.5-27B,bs128_out500,TP2,196.36,1619.09,398.66,645.41
Qwen3.5-27B,bs128_out500,TP2 × DP2,101.51,3126.87,406.9,1274.46
Qwen3.5-27B,bs128_out500,TP2 × PP2,157.23,2016.4,518.85,1046.33
Qwen3.5-27B,bs128_out500,TP4,197.33,1600.2,640.76,1025.23
Qwen3.5-27B,bs256_out2000,DP2,1060.49,712.81,899.0,640.84
Qwen3.5-27B,bs256_out2000,DP4,562.47,1381.37,924.21,1276.95
Qwen3.5-27B,bs256_out2000,PP2,584.66,1249.27,437.38,546.93
Qwen3.5-27B,bs256_out2000,PP2 × DP2,296.5,2493.24,439.19,1094.97
Qwen3.5-27B,bs256_out2000,PP4,589.41,1246.32,669.31,834.88
Qwen3.5-27B,bs256_out2000,TP2,403.8,1807.11,383.15,692.31
Qwen3.5-27B,bs256_out2000,TP2 × DP2,204.61,3703.52,379.43,1405.06
Qwen3.5-27B,bs256_out2000,TP2 × PP2,345.13,2152.66,500.36,1077.09
Qwen3.5-27B,bs256_out2000,TP4,397.56,1869.34,582.5,1088.68
Qwen3.5-27B,bs256_out500,DP2,379.64,831.37,778.52,647.32
Qwen3.5-27B,bs256_out500,DP4,198.77,1595.83,805.47,1284.88
Qwen3.5-27B,bs256_out500,PP2,184.37,1713.63,341.03,584.42
Qwen3.5-27B,bs256_out500,PP2 × DP2,93.34,3393.53,346.88,1178.78
Qwen3.5-27B,bs256_out500,PP4,185.21,1699.23,513.45,872.0
Qwen3.5-27B,bs256_out500,TP2,109.09,2879.24,292.16,840.95
Qwen3.5-27B,bs256_out500,TP2 × DP2,55.59,5695.63,295.34,1681.96
Qwen3.5-27B,bs256_out500,TP2 × PP2,110.25,2876.91,396.61,1141.58
Qwen3.5-27B,bs256_out500,TP4,101.15,3133.82,409.32,1281.63
