model_name,workload,config,n_groups,n_observations,duration_f,duration_p,duration_eta,throughput_f,throughput_p,throughput_eta,mj_per_token_f,mj_per_token_p,mj_per_token_eta,gpu_avg_power_f,gpu_avg_power_p,gpu_avg_power_eta
Qwen3-14B,,DP2,3,30,18085.6,0.0,1.0,72192.97,0.0,1.0,14953.43,0.0,1.0,18952.14,0.0,1.0
Qwen3-14B,,PP2,3,30,78596.99,0.0,1.0,59734.96,0.0,1.0,14319.5,0.0,1.0,3368.59,0.0,1.0
Qwen3-14B,,Single GPU,3,30,18431.51,0.0,1.0,79159.62,0.0,1.0,19062.71,0.0,1.0,36441.83,0.0,1.0
Qwen3-14B,,TP2,3,30,81440.01,0.0,1.0,47852.1,0.0,1.0,31403.97,0.0,1.0,10840.76,0.0,1.0
Qwen3-14B,bs128_out500,,4,40,711003.95,0.0,1.0,60776.93,0.0,1.0,9646.13,0.0,1.0,149109.94,0.0,1.0
Qwen3-14B,bs256_out2000,,4,40,5139.28,0.0,1.0,14001.56,0.0,1.0,904.47,0.0,0.99,65914.32,0.0,1.0
Qwen3-14B,bs256_out500,,4,40,339391.43,0.0,1.0,139476.51,0.0,1.0,2433.45,0.0,1.0,46209.6,0.0,1.0
Qwen3.5-27B,,PP2,3,30,56520.24,0.0,1.0,9549.09,0.0,1.0,5105.83,0.0,1.0,2179.93,0.0,0.99
Qwen3.5-27B,,PP2 × DP2,3,30,63907.48,0.0,1.0,6725.51,0.0,1.0,4182.17,0.0,1.0,2749.23,0.0,1.0
Qwen3.5-27B,,PP4,3,30,38777.44,0.0,1.0,6710.08,0.0,1.0,3040.13,0.0,1.0,431.99,0.0,0.97
Qwen3.5-27B,,TP2,3,30,31531.0,0.0,1.0,8976.69,0.0,1.0,4595.41,0.0,1.0,5384.33,0.0,1.0
Qwen3.5-27B,,TP2 × DP2,3,30,36453.72,0.0,1.0,4958.42,0.0,1.0,2519.75,0.0,0.99,5617.9,0.0,1.0
Qwen3.5-27B,,TP2 × PP2,3,30,72434.25,0.0,1.0,17621.32,0.0,1.0,4747.42,0.0,1.0,628.57,0.0,0.98
Qwen3.5-27B,,TP4,3,30,42163.62,0.0,1.0,7396.01,0.0,1.0,5281.6,0.0,1.0,4124.71,0.0,1.0
Qwen3.5-27B,bs128_out500,,7,70,126160.77,0.0,1.0,57050.45,0.0,1.0,17271.92,0.0,1.0,200929.82,0.0,1.0
Qwen3.5-27B,bs256_out2000,,7,70,24669.23,0.0,1.0,18220.17,0.0,1.0,8593.99,0.0,1.0,97304.92,0.0,1.0
Qwen3.5-27B,bs256_out500,,7,70,74092.08,0.0,1.0,64157.97,0.0,1.0,6920.31,0.0,1.0,69913.74,0.0,1.0
