model_name,workload,config,duration_eager,duration_noeager,duration_diff,throughput_eager,throughput_noeager,throughput_diff,mj_per_token_eager,mj_per_token_noeager,mj_per_token_diff,gpu_avg_power_eager,gpu_avg_power_noeager,gpu_avg_power_diff
Qwen3-14B,bs128_out500,DP2,55.81,54.27,-1.54,8407.09,8692.35,285.26,103.52,100.27,-3.25,870.43,871.61,1.18
Qwen3-14B,bs128_out500,PP2,112.57,108.84,-3.73,4194.92,4334.12,139.2,136.88,130.41,-6.47,574.04,565.58,-8.46
Qwen3-14B,bs128_out500,Single GPU,111.75,108.55,-3.2,4236.28,4350.1,113.82,102.61,100.49,-2.12,434.51,436.98,2.47
Qwen3-14B,bs128_out500,TP2,71.82,65.9,-5.92,6559.24,7162.87,603.63,119.12,111.42,-7.7,781.19,798.05,16.86
Qwen3-14B,bs256_out2000,DP2,192.91,216.75,23.84,6663.7,5995.73,-667.97,130.96,145.3,14.34,872.64,871.36,-1.28
Qwen3-14B,bs256_out2000,PP2,326.35,320.02,-6.33,3973.96,4059.51,85.55,153.03,146.73,-6.3,608.27,595.35,-12.92
Qwen3-14B,bs256_out2000,Single GPU,386.06,421.05,34.99,3372.44,3086.89,-285.55,133.3,142.85,9.55,449.85,440.89,-8.96
Qwen3-14B,bs256_out2000,TP2,200.29,187.83,-12.46,6510.98,6854.18,343.2,131.83,125.87,-5.96,858.14,862.81,4.67
Qwen3-14B,bs256_out500,DP2,32.99,32.39,-0.6,14334.36,14598.85,264.49,78.0,76.95,-1.05,1118.24,1123.44,5.2
Qwen3-14B,bs256_out500,PP2,66.29,64.86,-1.43,7128.08,7313.45,185.37,97.8,94.26,-3.54,697.31,688.99,-8.32
Qwen3-14B,bs256_out500,Single GPU,65.77,64.42,-1.35,7204.36,7313.72,109.36,77.49,76.94,-0.55,558.24,562.83,4.59
Qwen3-14B,bs256_out500,TP2,45.08,41.95,-3.13,10480.65,11243.64,762.99,90.2,86.15,-4.05,946.46,969.02,22.56
Qwen3.5-27B,bs128_out500,PP2,268.31,260.6,-7.71,1179.73,1215.75,36.02,449.55,428.29,-21.26,530.46,520.74,-9.72
Qwen3.5-27B,bs128_out500,PP2 × DP2,135.26,130.91,-4.35,2360.61,2429.65,69.04,449.45,426.94,-22.51,1060.86,1037.72,-23.14
Qwen3.5-27B,bs128_out500,PP4,269.98,261.59,-8.39,1170.1,1203.48,33.38,701.52,656.57,-44.95,820.86,790.46,-30.4
Qwen3.5-27B,bs128_out500,TP2,196.36,144.17,-52.19,1619.09,2191.14,572.05,398.66,345.79,-52.87,645.41,757.9,112.49
Qwen3.5-27B,bs128_out500,TP2 × DP2,101.51,72.38,-29.13,3126.87,4379.91,1253.04,406.9,344.16,-62.74,1274.46,1507.7,233.24
Qwen3.5-27B,bs128_out500,TP2 × PP2,157.23,144.65,-12.58,2016.4,2189.63,173.23,518.85,474.87,-43.98,1046.33,1040.27,-6.06
Qwen3.5-27B,bs128_out500,TP4,197.33,83.64,-113.69,1600.2,3778.04,2177.84,640.76,401.1,-239.66,1025.23,1515.26,490.03
Qwen3.5-27B,bs256_out2000,PP2,584.66,570.52,-14.14,1249.27,1281.79,32.52,437.38,418.46,-18.92,546.93,536.11,-10.82
Qwen3.5-27B,bs256_out2000,PP2 × DP2,296.5,291.09,-5.41,2493.24,2552.05,58.81,439.19,419.24,-19.95,1094.97,1069.5,-25.47
Qwen3.5-27B,bs256_out2000,PP4,589.41,579.15,-10.26,1246.32,1291.73,45.41,669.31,623.45,-45.86,834.88,805.4,-29.48
Qwen3.5-27B,bs256_out2000,TP2,403.8,320.03,-83.77,1807.11,2318.95,511.84,383.15,339.76,-43.39,692.31,787.95,95.64
Qwen3.5-27B,bs256_out2000,TP2 × DP2,204.61,162.2,-42.41,3703.52,4622.06,918.54,379.43,339.69,-39.74,1405.06,1569.8,164.74
Qwen3.5-27B,bs256_out2000,TP2 × PP2,345.13,319.34,-25.79,2152.66,2306.76,154.1,500.36,462.99,-37.37,1077.09,1068.63,-8.46
Qwen3.5-27B,bs256_out2000,TP4,397.56,184.2,-213.36,1869.34,4059.1,2189.76,582.5,389.78,-192.72,1088.68,1582.19,493.51
Qwen3.5-27B,bs256_out500,PP2,184.37,182.35,-2.02,1713.63,1728.5,14.87,341.03,333.33,-7.7,584.42,576.63,-7.79
Qwen3.5-27B,bs256_out500,PP2 × DP2,93.34,92.37,-0.97,3393.53,3423.01,29.48,346.88,336.61,-10.27,1178.78,1151.87,-26.91
Qwen3.5-27B,bs256_out500,PP4,185.21,181.59,-3.62,1699.23,1736.52,37.29,513.45,484.03,-29.42,872.0,841.29,-30.71
Qwen3.5-27B,bs256_out500,TP2,109.09,103.27,-5.82,2879.24,3061.62,182.38,292.16,278.58,-13.58,840.95,852.62,11.67
Qwen3.5-27B,bs256_out500,TP2 × DP2,55.59,52.38,-3.21,5695.63,6058.27,362.64,295.34,280.7,-14.64,1681.96,1700.35,18.39
Qwen3.5-27B,bs256_out500,TP2 × PP2,110.25,103.91,-6.34,2876.91,3054.41,177.5,396.61,371.43,-25.18,1141.58,1133.93,-7.65
Qwen3.5-27B,bs256_out500,TP4,101.15,58.24,-42.91,3133.82,5420.03,2286.21,409.32,317.03,-92.29,1281.63,1718.85,437.22
