model_name,workload,config,duration_pct,throughput_pct,mj_per_token_pct,gpu_avg_power_pct
Qwen3-14B,bs128_out500,DP2,↓ 2.76%,↑ 3.39%,↓ 3.14%,↑ 0.14%
Qwen3-14B,bs128_out500,PP2,↓ 3.31%,↑ 3.32%,↓ 4.73%,↓ 1.47%
Qwen3-14B,bs128_out500,Single GPU,↓ 2.86%,↑ 2.69%,↓ 2.07%,↑ 0.57%
Qwen3-14B,bs128_out500,TP2,↓ 8.24%,↑ 9.2%,↓ 6.46%,↑ 2.16%
Qwen3-14B,bs256_out2000,DP2,↑ 12.36%,↓ 10.02%,↑ 10.95%,↓ 0.15%
Qwen3-14B,bs256_out2000,PP2,↓ 1.94%,↑ 2.15%,↓ 4.12%,↓ 2.12%
Qwen3-14B,bs256_out2000,Single GPU,↑ 9.06%,↓ 8.47%,↑ 7.16%,↓ 1.99%
Qwen3-14B,bs256_out2000,TP2,↓ 6.22%,↑ 5.27%,↓ 4.52%,↑ 0.54%
Qwen3-14B,bs256_out500,DP2,↓ 1.82%,↑ 1.85%,↓ 1.35%,↑ 0.47%
Qwen3-14B,bs256_out500,PP2,↓ 2.16%,↑ 2.6%,↓ 3.62%,↓ 1.19%
Qwen3-14B,bs256_out500,Single GPU,↓ 2.05%,↑ 1.52%,↓ 0.71%,↑ 0.82%
Qwen3-14B,bs256_out500,TP2,↓ 6.94%,↑ 7.28%,↓ 4.49%,↑ 2.38%
Qwen3.5-27B,bs128_out500,PP2,↓ 2.87%,↑ 3.05%,↓ 4.73%,↓ 1.83%
Qwen3.5-27B,bs128_out500,PP2 × DP2,↓ 3.22%,↑ 2.92%,↓ 5.01%,↓ 2.18%
Qwen3.5-27B,bs128_out500,PP4,↓ 3.11%,↑ 2.85%,↓ 6.41%,↓ 3.7%
Qwen3.5-27B,bs128_out500,TP2,↓ 26.58%,↑ 35.33%,↓ 13.26%,↑ 17.43%
Qwen3.5-27B,bs128_out500,TP2 × DP2,↓ 28.7%,↑ 40.07%,↓ 15.42%,↑ 18.3%
Qwen3.5-27B,bs128_out500,TP2 × PP2,↓ 8%,↑ 8.59%,↓ 8.48%,↓ 0.58%
Qwen3.5-27B,bs128_out500,TP4,↓ 57.61%,↑ 136.1%,↓ 37.4%,↑ 47.8%
Qwen3.5-27B,bs256_out2000,PP2,↓ 2.42%,↑ 2.6%,↓ 4.33%,↓ 1.98%
Qwen3.5-27B,bs256_out2000,PP2 × DP2,↓ 1.82%,↑ 2.36%,↓ 4.54%,↓ 2.33%
Qwen3.5-27B,bs256_out2000,PP4,↓ 1.74%,↑ 3.64%,↓ 6.85%,↓ 3.53%
Qwen3.5-27B,bs256_out2000,TP2,↓ 20.75%,↑ 28.32%,↓ 11.32%,↑ 13.81%
Qwen3.5-27B,bs256_out2000,TP2 × DP2,↓ 20.73%,↑ 24.8%,↓ 10.47%,↑ 11.72%
Qwen3.5-27B,bs256_out2000,TP2 × PP2,↓ 7.47%,↑ 7.16%,↓ 7.47%,↓ 0.79%
Qwen3.5-27B,bs256_out2000,TP4,↓ 53.67%,↑ 117.14%,↓ 33.08%,↑ 45.33%
Qwen3.5-27B,bs256_out500,PP2,↓ 1.1%,↑ 0.87%,↓ 2.26%,↓ 1.33%
Qwen3.5-27B,bs256_out500,PP2 × DP2,↓ 1.04%,↑ 0.87%,↓ 2.96%,↓ 2.28%
Qwen3.5-27B,bs256_out500,PP4,↓ 1.95%,↑ 2.19%,↓ 5.73%,↓ 3.52%
Qwen3.5-27B,bs256_out500,TP2,↓ 5.34%,↑ 6.33%,↓ 4.65%,↑ 1.39%
Qwen3.5-27B,bs256_out500,TP2 × DP2,↓ 5.77%,↑ 6.37%,↓ 4.96%,↑ 1.09%
Qwen3.5-27B,bs256_out500,TP2 × PP2,↓ 5.75%,↑ 6.17%,↓ 6.35%,↓ 0.67%
Qwen3.5-27B,bs256_out500,TP4,↓ 42.42%,↑ 72.95%,↓ 22.55%,↑ 34.11%
