model_name,workload,config,duration_mean,duration_min,duration_max,duration_spread_abs,duration_spread_pct,duration_min_run_id,duration_max_run_id,throughput_mean,throughput_min,throughput_max,throughput_spread_abs,throughput_spread_pct,throughput_min_run_id,throughput_max_run_id,mj_per_token_mean,mj_per_token_min,mj_per_token_max,mj_per_token_spread_abs,mj_per_token_spread_pct,mj_per_token_min_run_id,mj_per_token_max_run_id,gpu_avg_power_mean,gpu_avg_power_min,gpu_avg_power_max,gpu_avg_power_spread_abs,gpu_avg_power_spread_pct,gpu_avg_power_min_run_id,gpu_avg_power_max_run_id
Qwen3-14B,bs128_out500,DP2,54.29,54.15,54.62,0.48,0.88,10,1,8692.3,8636.15,8748.07,111.92,1.29,7,3,100.28,99.56,101.05,1.49,1.49,9,10,871.63,868.2,875.18,6.98,0.8,2,8
Qwen3-14B,bs128_out500,PP2,108.84,108.72,108.95,0.23,0.21,9,5,4334.75,4322.8,4351.77,28.97,0.67,9,10,130.4,129.57,131.16,1.59,1.22,1,9,565.27,560.94,567.11,6.16,1.09,1,3
Qwen3-14B,bs128_out500,Single GPU,108.53,108.25,108.71,0.46,0.42,10,1,4349.89,4311.83,4386.27,74.44,1.71,7,9,100.48,99.62,101.24,1.63,1.62,9,10,437.06,435.91,438.84,2.93,0.67,7,2
Qwen3-14B,bs128_out500,TP2,65.89,65.77,65.94,0.17,0.25,3,8,7162.52,7135.95,7186.34,50.39,0.7,3,5,111.39,110.72,111.78,1.06,0.95,5,2,797.82,793.87,799.95,6.07,0.76,3,2
Qwen3-14B,bs256_out2000,DP2,216.42,207.9,222.28,14.38,6.64,6,7,6007.81,5940.26,6171.96,231.7,3.86,9,6,145.06,141.54,146.68,5.14,3.54,6,5,871.39,864.89,878.16,13.27,1.52,2,3
Qwen3-14B,bs256_out2000,PP2,320.07,315.86,324.69,8.83,2.76,5,1,4060.74,4017.97,4113.32,95.36,2.35,10,1,146.65,145.23,147.52,2.29,1.56,1,5,595.51,592.28,599.98,7.7,1.29,10,3
Qwen3-14B,bs256_out2000,Single GPU,420.52,406.46,430.33,23.88,5.68,5,3,3087.26,3047.3,3130.17,82.87,2.68,8,4,142.83,141.05,144.44,3.39,2.37,4,8,440.93,440.1,442.1,2.01,0.46,7,1
Qwen3-14B,bs256_out2000,TP2,188.1,186.57,191.78,5.2,2.77,8,2,6858.97,6823.16,6933.13,109.97,1.6,6,2,125.84,125.23,126.22,0.99,0.79,2,8,863.11,860.37,868.25,7.87,0.91,6,2
Qwen3-14B,bs256_out500,DP2,32.39,32.35,32.42,0.06,0.2,8,5,14598.0,14567.21,14621.97,54.76,0.38,9,10,76.98,76.69,77.48,0.8,1.03,2,1,1123.75,1118.64,1131.34,12.7,1.13,5,1
Qwen3-14B,bs256_out500,PP2,64.87,64.7,65.08,0.39,0.6,2,5,7311.9,7274.85,7336.57,61.72,0.84,10,9,94.09,91.92,94.89,2.97,3.15,9,1,687.94,674.41,693.07,18.66,2.71,9,7
Qwen3-14B,bs256_out500,Single GPU,64.42,64.31,64.52,0.2,0.31,4,1,7315.16,7287.69,7354.13,66.44,0.91,8,10,76.95,76.52,77.44,0.92,1.2,10,9,562.9,560.31,566.02,5.71,1.01,5,6
Qwen3-14B,bs256_out500,TP2,41.95,41.77,42.11,0.34,0.82,6,5,11243.5,11162.53,11323.34,160.82,1.43,3,1,86.19,85.68,87.1,1.42,1.65,10,3,969.12,964.42,974.57,10.15,1.05,10,7
Qwen3.5-27B,bs128_out500,PP2,260.62,259.44,261.99,2.55,0.98,5,7,1216.04,1205.95,1228.48,22.52,1.85,3,7,428.22,424.71,431.23,6.52,1.52,7,3,520.73,519.49,521.85,2.36,0.45,5,2
Qwen3.5-27B,bs128_out500,PP2 × DP2,130.91,130.28,131.51,1.23,0.94,1,3,2430.98,2409.55,2463.05,53.51,2.2,4,3,426.84,422.52,430.37,7.84,1.84,3,4,1037.61,1033.62,1040.7,7.08,0.68,10,3
Qwen3.5-27B,bs128_out500,PP4,261.68,260.36,263.7,3.34,1.28,9,6,1204.05,1191.48,1221.15,29.66,2.46,5,6,656.37,646.72,664.4,17.68,2.69,6,5,790.26,786.83,792.13,5.3,0.67,10,1
Qwen3.5-27B,bs128_out500,TP2,144.17,143.5,144.86,1.36,0.94,1,3,2191.38,2180.24,2204.45,24.21,1.1,1,10,345.8,344.32,347.34,3.02,0.87,10,9,757.77,753.74,760.74,7.0,0.92,1,3
Qwen3.5-27B,bs128_out500,TP2 × DP2,72.43,71.68,73.61,1.93,2.67,10,7,4379.87,4342.97,4416.45,73.48,1.68,10,3,344.2,342.07,346.63,4.56,1.32,3,4,1507.51,1500.63,1512.88,12.25,0.81,10,7
Qwen3.5-27B,bs128_out500,TP2 × PP2,144.76,144.01,146.34,2.32,1.6,7,1,2190.28,2173.77,2212.0,38.23,1.75,5,2,475.05,472.54,479.05,6.51,1.37,4,5,1040.48,1036.62,1046.02,9.4,0.9,7,2
Qwen3.5-27B,bs128_out500,TP4,83.66,83.13,84.43,1.3,1.56,10,1,3778.75,3749.62,3813.55,63.93,1.69,10,7,400.99,397.86,403.28,5.43,1.35,7,10,1515.2,1510.6,1519.37,8.76,0.58,5,4
Qwen3.5-27B,bs256_out2000,PP2,570.31,562.27,576.69,14.42,2.53,9,10,1280.58,1261.56,1289.94,28.38,2.22,9,4,418.72,415.31,424.19,8.88,2.12,2,9,536.18,534.53,538.46,3.93,0.73,1,4
Qwen3.5-27B,bs256_out2000,PP2 × DP2,291.33,288.42,296.17,7.75,2.66,4,6,2549.83,2511.82,2570.05,58.23,2.28,4,10,419.48,415.8,425.06,9.26,2.21,10,4,1069.56,1066.6,1073.04,6.44,0.6,8,6
Qwen3.5-27B,bs256_out2000,PP4,579.03,568.06,588.98,20.93,3.61,2,10,1291.0,1270.39,1305.72,35.33,2.74,2,10,623.88,614.61,636.66,22.06,3.54,5,2,805.37,800.37,810.16,9.79,1.22,5,6
Qwen3.5-27B,bs256_out2000,TP2,320.16,315.55,325.81,10.26,3.2,7,8,2318.57,2281.19,2352.96,71.78,3.1,4,8,339.9,336.42,344.54,8.13,2.39,10,4,788.03,785.01,791.77,6.77,0.86,1,8
Qwen3.5-27B,bs256_out2000,TP2 × DP2,162.28,160.12,165.13,5.0,3.08,10,9,4622.32,4530.44,4716.28,185.84,4.02,2,1,339.53,333.54,344.22,10.67,3.14,1,2,1569.25,1559.45,1574.62,15.17,0.97,2,8
