run_id,model_name,config,workload,duration,throughput,mj_per_token,gpu_avg_power,source_file
1,Qwen3-14B,DP2,bs128_out500,54.62,8653.81,100.74,871.79,qwen3_14b_dp2_bs128_out500_noeager_20260725_150654.json
2,Qwen3-14B,DP2,bs128_out500,54.17,8649.19,100.38,868.2,qwen3_14b_dp2_bs128_out500_noeager_20260725_174519.json
3,Qwen3-14B,DP2,bs128_out500,54.28,8748.07,99.83,873.32,qwen3_14b_dp2_bs128_out500_noeager_20260725_202211.json
4,Qwen3-14B,DP2,bs128_out500,54.32,8702.78,100.1,871.17,qwen3_14b_dp2_bs128_out500_noeager_20260725_225801.json
5,Qwen3-14B,DP2,bs128_out500,54.25,8701.56,100.24,872.25,qwen3_14b_dp2_bs128_out500_noeager_20260726_013325.json
6,Qwen3-14B,DP2,bs128_out500,54.32,8702.54,99.95,869.81,qwen3_14b_dp2_bs128_out500_noeager_20260726_040852.json
7,Qwen3-14B,DP2,bs128_out500,54.21,8636.15,100.82,870.72,qwen3_14b_dp2_bs128_out500_noeager_20260726_064425.json
8,Qwen3-14B,DP2,bs128_out500,54.31,8743.04,100.1,875.18,qwen3_14b_dp2_bs128_out500_noeager_20260726_092015.json
9,Qwen3-14B,DP2,bs128_out500,54.29,8747.34,99.56,870.87,qwen3_14b_dp2_bs128_out500_noeager_20260726_115611.json
10,Qwen3-14B,DP2,bs128_out500,54.15,8638.5,101.05,872.95,qwen3_14b_dp2_bs128_out500_noeager_20260726_143126.json
1,Qwen3-14B,PP2,bs128_out500,108.87,4329.28,129.57,560.94,qwen3_14b_pp2_bs128_out500_noeager_20260725_151653.json
2,Qwen3-14B,PP2,bs128_out500,108.79,4323.94,130.43,563.99,qwen3_14b_pp2_bs128_out500_noeager_20260725_175510.json
3,Qwen3-14B,PP2,bs128_out500,108.84,4333.12,130.88,567.11,qwen3_14b_pp2_bs128_out500_noeager_20260725_203206.json
4,Qwen3-14B,PP2,bs128_out500,108.9,4341.73,130.27,565.6,qwen3_14b_pp2_bs128_out500_noeager_20260725_230747.json
5,Qwen3-14B,PP2,bs128_out500,108.95,4343.29,130.25,565.72,qwen3_14b_pp2_bs128_out500_noeager_20260726_014318.json
6,Qwen3-14B,PP2,bs128_out500,108.72,4339.43,130.03,564.24,qwen3_14b_pp2_bs128_out500_noeager_20260726_041835.json
7,Qwen3-14B,PP2,bs128_out500,108.88,4328.91,130.64,565.55,qwen3_14b_pp2_bs128_out500_noeager_20260726_065422.json
8,Qwen3-14B,PP2,bs128_out500,108.82,4333.23,130.5,565.48,qwen3_14b_pp2_bs128_out500_noeager_20260726_093009.json
9,Qwen3-14B,PP2,bs128_out500,108.72,4322.8,131.16,566.96,qwen3_14b_pp2_bs128_out500_noeager_20260726_120604.json
10,Qwen3-14B,PP2,bs128_out500,108.91,4351.77,130.31,567.08,qwen3_14b_pp2_bs128_out500_noeager_20260726_144116.json
1,Qwen3-14B,Single GPU,bs128_out500,108.71,4354.09,100.47,437.47,qwen3_14b_single_bs128_out500_noeager_20260725_152908.json
2,Qwen3-14B,Single GPU,bs128_out500,108.59,4371.82,100.38,438.84,qwen3_14b_single_bs128_out500_noeager_20260725_180721.json
3,Qwen3-14B,Single GPU,bs128_out500,108.47,4315.33,101.23,436.83,qwen3_14b_single_bs128_out500_noeager_20260725_204418.json
4,Qwen3-14B,Single GPU,bs128_out500,108.41,4348.78,100.49,437.01,qwen3_14b_single_bs128_out500_noeager_20260725_231956.json
5,Qwen3-14B,Single GPU,bs128_out500,108.51,4362.83,100.2,437.16,qwen3_14b_single_bs128_out500_noeager_20260726_015523.json
6,Qwen3-14B,Single GPU,bs128_out500,108.64,4368.65,99.9,436.42,qwen3_14b_single_bs128_out500_noeager_20260726_043046.json
7,Qwen3-14B,Single GPU,bs128_out500,108.5,4311.83,101.1,435.91,qwen3_14b_single_bs128_out500_noeager_20260726_070630.json
8,Qwen3-14B,Single GPU,bs128_out500,108.63,4361.44,100.16,436.86,qwen3_14b_single_bs128_out500_noeager_20260726_094218.json
9,Qwen3-14B,Single GPU,bs128_out500,108.64,4386.27,99.62,436.95,qwen3_14b_single_bs128_out500_noeager_20260726_121811.json
10,Qwen3-14B,Single GPU,bs128_out500,108.25,4317.84,101.24,437.16,qwen3_14b_single_bs128_out500_noeager_20260726_145324.json
1,Qwen3-14B,TP2,bs128_out500,65.91,7182.42,111.21,798.75,qwen3_14b_tp2_bs128_out500_noeager_20260725_154222.json
2,Qwen3-14B,TP2,bs128_out500,65.91,7156.59,111.78,799.95,qwen3_14b_tp2_bs128_out500_noeager_20260725_182028.json
3,Qwen3-14B,TP2,bs128_out500,65.77,7135.95,111.25,793.87,qwen3_14b_tp2_bs128_out500_noeager_20260725_205731.json
4,Qwen3-14B,TP2,bs128_out500,65.93,7165.15,111.45,798.54,qwen3_14b_tp2_bs128_out500_noeager_20260725_233249.json
5,Qwen3-14B,TP2,bs128_out500,65.93,7186.34,110.72,795.68,qwen3_14b_tp2_bs128_out500_noeager_20260726_020814.json
6,Qwen3-14B,TP2,bs128_out500,65.81,7147.27,111.73,798.58,qwen3_14b_tp2_bs128_out500_noeager_20260726_044348.json
7,Qwen3-14B,TP2,bs128_out500,65.93,7147.47,111.72,798.51,qwen3_14b_tp2_bs128_out500_noeager_20260726_071938.json
8,Qwen3-14B,TP2,bs128_out500,65.94,7171.18,111.29,798.06,qwen3_14b_tp2_bs128_out500_noeager_20260726_095530.json
9,Qwen3-14B,TP2,bs128_out500,65.84,7173.56,111.22,797.82,qwen3_14b_tp2_bs128_out500_noeager_20260726_123109.json
10,Qwen3-14B,TP2,bs128_out500,65.91,7159.3,111.53,798.45,qwen3_14b_tp2_bs128_out500_noeager_20260726_150627.json
1,Qwen3-14B,DP2,bs256_out2000,216.94,5971.02,145.34,867.81,qwen3_14b_dp2_bs256_out2000_noeager_20260725_151149.json
2,Qwen3-14B,DP2,bs256_out2000,217.38,5965.9,144.97,864.89,qwen3_14b_dp2_bs256_out2000_noeager_20260725_175014.json
3,Qwen3-14B,DP2,bs256_out2000,219.09,6050.12,145.15,878.16,qwen3_14b_dp2_bs256_out2000_noeager_20260725_202709.json
4,Qwen3-14B,DP2,bs256_out2000,211.48,6077.25,144.19,876.3,qwen3_14b_dp2_bs256_out2000_noeager_20260725_230250.json
5,Qwen3-14B,DP2,bs256_out2000,218.55,5940.43,146.68,871.36,qwen3_14b_dp2_bs256_out2000_noeager_20260726_013821.json
6,Qwen3-14B,DP2,bs256_out2000,207.9,6171.96,141.54,873.6,qwen3_14b_dp2_bs256_out2000_noeager_20260726_041338.json
7,Qwen3-14B,DP2,bs256_out2000,222.28,5973.35,145.82,871.04,qwen3_14b_dp2_bs256_out2000_noeager_20260726_064925.json
8,Qwen3-14B,DP2,bs256_out2000,217.52,6034.26,144.62,872.69,qwen3_14b_dp2_bs256_out2000_noeager_20260726_092511.json
9,Qwen3-14B,DP2,bs256_out2000,218.14,5940.26,146.41,869.69,qwen3_14b_dp2_bs256_out2000_noeager_20260726_120107.json
10,Qwen3-14B,DP2,bs256_out2000,214.9,5953.52,145.86,868.4,qwen3_14b_dp2_bs256_out2000_noeager_20260726_143619.json
1,Qwen3-14B,PP2,bs256_out2000,324.69,4113.32,145.23,597.37,qwen3_14b_pp2_bs256_out2000_noeager_20260725_152338.json
2,Qwen3-14B,PP2,bs256_out2000,319.87,4066.85,146.14,594.35,qwen3_14b_pp2_bs256_out2000_noeager_20260725_180150.json
3,Qwen3-14B,PP2,bs256_out2000,323.22,4107.72,146.06,599.98,qwen3_14b_pp2_bs256_out2000_noeager_20260725_203847.json
4,Qwen3-14B,PP2,bs256_out2000,320.01,4077.03,146.23,596.17,qwen3_14b_pp2_bs256_out2000_noeager_20260725_231426.json
5,Qwen3-14B,PP2,bs256_out2000,315.86,4021.46,147.52,593.25,qwen3_14b_pp2_bs256_out2000_noeager_20260726_014953.json
6,Qwen3-14B,PP2,bs256_out2000,322.01,4067.12,146.61,596.27,qwen3_14b_pp2_bs256_out2000_noeager_20260726_042516.json
7,Qwen3-14B,PP2,bs256_out2000,319.55,4044.57,147.11,595.0,qwen3_14b_pp2_bs256_out2000_noeager_20260726_070101.json
8,Qwen3-14B,PP2,bs256_out2000,319.55,4048.64,146.93,594.85,qwen3_14b_pp2_bs256_out2000_noeager_20260726_093647.json
9,Qwen3-14B,PP2,bs256_out2000,318.79,4042.72,147.32,595.56,qwen3_14b_pp2_bs256_out2000_noeager_20260726_121242.json
10,Qwen3-14B,PP2,bs256_out2000,317.11,4017.97,147.41,592.28,qwen3_14b_pp2_bs256_out2000_noeager_20260726_144752.json
1,Qwen3-14B,Single GPU,bs256_out2000,428.14,3080.35,143.52,442.1,qwen3_14b_single_bs256_out2000_noeager_20260725_153732.json
2,Qwen3-14B,Single GPU,bs256_out2000,423.81,3071.15,143.49,440.68,qwen3_14b_single_bs256_out2000_noeager_20260725_181540.json
3,Qwen3-14B,Single GPU,bs256_out2000,430.33,3061.89,144.28,441.75,qwen3_14b_single_bs256_out2000_noeager_20260725_205243.json
4,Qwen3-14B,Single GPU,bs256_out2000,411.07,3130.17,141.05,441.51,qwen3_14b_single_bs256_out2000_noeager_20260725_232801.json
5,Qwen3-14B,Single GPU,bs256_out2000,406.46,3078.68,143.14,440.7,qwen3_14b_single_bs256_out2000_noeager_20260726_020325.json
6,Qwen3-14B,Single GPU,bs256_out2000,418.87,3090.99,142.78,441.32,qwen3_14b_single_bs256_out2000_noeager_20260726_043859.json
7,Qwen3-14B,Single GPU,bs256_out2000,423.79,3090.54,142.4,440.1,qwen3_14b_single_bs256_out2000_noeager_20260726_071449.json
8,Qwen3-14B,Single GPU,bs256_out2000,428.27,3047.3,144.44,440.14,qwen3_14b_single_bs256_out2000_noeager_20260726_095041.json
9,Qwen3-14B,Single GPU,bs256_out2000,415.78,3114.28,141.49,440.64,qwen3_14b_single_bs256_out2000_noeager_20260726_122621.json
10,Qwen3-14B,Single GPU,bs256_out2000,418.65,3107.23,141.73,440.38,qwen3_14b_single_bs256_out2000_noeager_20260726_150138.json
1,Qwen3-14B,TP2,bs256_out2000,187.78,6874.52,125.83,865.0,qwen3_14b_tp2_bs256_out2000_noeager_20260725_154655.json
2,Qwen3-14B,TP2,bs256_out2000,191.78,6933.13,125.23,868.25,qwen3_14b_tp2_bs256_out2000_noeager_20260725_182506.json
3,Qwen3-14B,TP2,bs256_out2000,187.44,6827.79,126.14,861.26,qwen3_14b_tp2_bs256_out2000_noeager_20260725_210204.json
4,Qwen3-14B,TP2,bs256_out2000,187.8,6882.95,125.58,864.39,qwen3_14b_tp2_bs256_out2000_noeager_20260725_233723.json
5,Qwen3-14B,TP2,bs256_out2000,188.28,6829.17,126.09,861.07,qwen3_14b_tp2_bs256_out2000_noeager_20260726_021248.json
6,Qwen3-14B,TP2,bs256_out2000,187.04,6823.16,126.1,860.37,qwen3_14b_tp2_bs256_out2000_noeager_20260726_044820.json
7,Qwen3-14B,TP2,bs256_out2000,188.9,6854.82,125.95,863.37,qwen3_14b_tp2_bs256_out2000_noeager_20260726_072413.json
8,Qwen3-14B,TP2,bs256_out2000,186.57,6826.13,126.22,861.6,qwen3_14b_tp2_bs256_out2000_noeager_20260726_100002.json
9,Qwen3-14B,TP2,bs256_out2000,186.78,6848.54,125.77,861.36,qwen3_14b_tp2_bs256_out2000_noeager_20260726_123541.json
10,Qwen3-14B,TP2,bs256_out2000,188.6,6889.53,125.47,864.41,qwen3_14b_tp2_bs256_out2000_noeager_20260726_151100.json
1,Qwen3-14B,DP2,bs256_out500,32.38,14600.98,77.48,1131.34,qwen3_14b_dp2_bs256_out500_noeager_20260725_151340.json
2,Qwen3-14B,DP2,bs256_out500,32.38,14618.3,76.69,1121.06,qwen3_14b_dp2_bs256_out500_noeager_20260725_175204.json
3,Qwen3-14B,DP2,bs256_out500,32.39,14605.17,76.76,1121.09,qwen3_14b_dp2_bs256_out500_noeager_20260725_202859.json
4,Qwen3-14B,DP2,bs256_out500,32.38,14602.53,77.05,1125.09,qwen3_14b_dp2_bs256_out500_noeager_20260725_230440.json
5,Qwen3-14B,DP2,bs256_out500,32.42,14567.6,76.79,1118.64,qwen3_14b_dp2_bs256_out500_noeager_20260726_014011.json
6,Qwen3-14B,DP2,bs256_out500,32.41,14585.88,76.82,1120.47,qwen3_14b_dp2_bs256_out500_noeager_20260726_041528.json
7,Qwen3-14B,DP2,bs256_out500,32.38,14609.22,76.86,1122.82,qwen3_14b_dp2_bs256_out500_noeager_20260726_065115.json
8,Qwen3-14B,DP2,bs256_out500,32.35,14601.14,77.12,1126.05,qwen3_14b_dp2_bs256_out500_noeager_20260726_092702.json
