model_name,workload,config,duration,throughput,mj_per_token,gpu_avg_power
Qwen3-14B,bs128_out500,DP2,54.29,8692.3,100.28,871.63
Qwen3-14B,bs128_out500,PP2,108.84,4334.75,130.4,565.27
Qwen3-14B,bs128_out500,Single GPU,108.53,4349.89,100.48,437.06
Qwen3-14B,bs128_out500,TP2,65.89,7162.52,111.39,797.82
Qwen3-14B,bs256_out2000,DP2,216.42,6007.81,145.06,871.39
Qwen3-14B,bs256_out2000,PP2,320.07,4060.74,146.65,595.51
Qwen3-14B,bs256_out2000,Single GPU,420.52,3087.26,142.83,440.93
Qwen3-14B,bs256_out2000,TP2,188.1,6858.97,125.84,863.11
Qwen3-14B,bs256_out500,DP2,32.39,14598.0,76.98,1123.75
Qwen3-14B,bs256_out500,PP2,64.87,7311.9,94.09,687.94
Qwen3-14B,bs256_out500,Single GPU,64.42,7315.16,76.95,562.9
Qwen3-14B,bs256_out500,TP2,41.95,11243.5,86.19,969.12
Qwen3.5-27B,bs128_out500,PP2,260.62,1216.04,428.22,520.73
Qwen3.5-27B,bs128_out500,PP2 × DP2,130.91,2430.98,426.84,1037.61
Qwen3.5-27B,bs128_out500,PP4,261.68,1204.05,656.37,790.26
Qwen3.5-27B,bs128_out500,TP2,144.17,2191.38,345.8,757.77
Qwen3.5-27B,bs128_out500,TP2 × DP2,72.43,4379.87,344.2,1507.51
Qwen3.5-27B,bs128_out500,TP2 × PP2,144.76,2190.28,475.05,1040.48
Qwen3.5-27B,bs128_out500,TP4,83.66,3778.75,400.99,1515.2
Qwen3.5-27B,bs256_out2000,PP2,570.31,1280.58,418.72,536.18
Qwen3.5-27B,bs256_out2000,PP2 × DP2,291.33,2549.83,419.48,1069.56
Qwen3.5-27B,bs256_out2000,PP4,579.03,1291.0,623.88,805.37
Qwen3.5-27B,bs256_out2000,TP2,320.16,2318.57,339.9,788.03
Qwen3.5-27B,bs256_out2000,TP2 × DP2,162.28,4622.32,339.53,1569.25
Qwen3.5-27B,bs256_out2000,TP2 × PP2,319.43,2307.02,463.07,1068.3
Qwen3.5-27B,bs256_out2000,TP4,184.11,4057.57,389.83,1581.68
Qwen3.5-27B,bs256_out500,PP2,182.38,1730.16,333.13,576.35
Qwen3.5-27B,bs256_out500,PP2 × DP2,92.29,3423.64,336.38,1151.61
Qwen3.5-27B,bs256_out500,PP4,181.57,1737.33,484.07,840.94
Qwen3.5-27B,bs256_out500,TP2,103.23,3061.53,278.46,852.51
Qwen3.5-27B,bs256_out500,TP2 × DP2,52.4,6056.93,280.77,1700.55
Qwen3.5-27B,bs256_out500,TP2 × PP2,103.9,3054.13,371.77,1135.41
Qwen3.5-27B,bs256_out500,TP4,58.28,5420.7,317.05,1718.6
