model_name,workload,config,duration,throughput,mj_per_token,gpu_avg_power
Qwen3-14B,bs128_out500,DP2,54.27,8692.35,100.27,871.61
Qwen3-14B,bs128_out500,PP2,108.84,4334.12,130.41,565.58
Qwen3-14B,bs128_out500,Single GPU,108.55,4350.1,100.49,436.98
Qwen3-14B,bs128_out500,TP2,65.9,7162.87,111.42,798.05
Qwen3-14B,bs256_out2000,DP2,216.75,5995.73,145.3,871.36
Qwen3-14B,bs256_out2000,PP2,320.02,4059.51,146.73,595.35
Qwen3-14B,bs256_out2000,Single GPU,421.05,3086.89,142.85,440.89
Qwen3-14B,bs256_out2000,TP2,187.83,6854.18,125.87,862.81
Qwen3-14B,bs256_out500,DP2,32.39,14598.85,76.95,1123.44
Qwen3-14B,bs256_out500,PP2,64.86,7313.45,94.26,688.99
Qwen3-14B,bs256_out500,Single GPU,64.42,7313.72,76.94,562.83
Qwen3-14B,bs256_out500,TP2,41.95,11243.64,86.15,969.02
Qwen3.5-27B,bs128_out500,PP2,260.6,1215.75,428.29,520.74
Qwen3.5-27B,bs128_out500,PP2 × DP2,130.91,2429.65,426.94,1037.72
Qwen3.5-27B,bs128_out500,PP4,261.59,1203.48,656.57,790.46
Qwen3.5-27B,bs128_out500,TP2,144.17,2191.14,345.79,757.9
Qwen3.5-27B,bs128_out500,TP2 × DP2,72.38,4379.91,344.16,1507.7
Qwen3.5-27B,bs128_out500,TP2 × PP2,144.65,2189.63,474.87,1040.27
Qwen3.5-27B,bs128_out500,TP4,83.64,3778.04,401.1,1515.26
Qwen3.5-27B,bs256_out2000,PP2,570.52,1281.79,418.46,536.11
Qwen3.5-27B,bs256_out2000,PP2 × DP2,291.09,2552.05,419.24,1069.5
Qwen3.5-27B,bs256_out2000,PP4,579.15,1291.73,623.45,805.4
Qwen3.5-27B,bs256_out2000,TP2,320.03,2318.95,339.76,787.95
Qwen3.5-27B,bs256_out2000,TP2 × DP2,162.2,4622.06,339.69,1569.8
Qwen3.5-27B,bs256_out2000,TP2 × PP2,319.34,2306.76,462.99,1068.63
Qwen3.5-27B,bs256_out2000,TP4,184.2,4059.1,389.78,1582.19
Qwen3.5-27B,bs256_out500,PP2,182.35,1728.5,333.33,576.63
Qwen3.5-27B,bs256_out500,PP2 × DP2,92.37,3423.01,336.61,1151.87
Qwen3.5-27B,bs256_out500,PP4,181.59,1736.52,484.03,841.29
Qwen3.5-27B,bs256_out500,TP2,103.27,3061.62,278.58,852.62
Qwen3.5-27B,bs256_out500,TP2 × DP2,52.38,6058.27,280.7,1700.35
Qwen3.5-27B,bs256_out500,TP2 × PP2,103.91,3054.41,371.43,1133.93
Qwen3.5-27B,bs256_out500,TP4,58.24,5420.03,317.03,1718.85
